YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2015,2015,GU,Guam,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,30.5,30.5,,,25.8,35.6,559,,,High school graduate,,,,"(13.444304, 144.793731)",PA,PA1,Q047,VALUE,66,Education,High school graduate,EDU,EDUHSGRAD
2015,2015,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,40.2,40.2,,,33.3,47.4,354,,,,,,Hispanic,"(41.708280193, -71.522470314)",OWS,OWS1,Q037,VALUE,44,Race/Ethnicity,Hispanic,RACE,RACEHIS
2011,2011,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.4,35.4,,,33,37.9,6649,,,,,,American Indian/Alaska Native,,OWS,OWS1,Q036,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2012,2012,WY,Wyoming,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,32.3,32.3,,,25.6,39.8,484,,,,,"Less than $15,000",,"(43.235541343, -108.109830353)",PA,PA1,Q047,VALUE,56,Income,"Less than $15,000",INC,INCLESS15
2020,2020,DE,Delaware,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,15.3,15.3,,,6.9,30.6,65,,,,,,Asian,"(39.008830667000495, -75.57774116799965)",PA,PA1,Q047,VALUE,10,Race/Ethnicity,Asian,RACE,RACEASN
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Non-Hispanic White,"(18.220833, -66.590149)",PA,PA1,Q043,VALUE,72,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2015,2015,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Other,"(13.444304, 144.793731)",OWS,OWS1,Q037,VALUE,66,Race/Ethnicity,Other,RACE,RACEOTH
2015,2015,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.7,33.7,,,25.1,43.4,285,,55 - 64,,,,,"(13.444304, 144.793731)",OWS,OWS1,Q036,VALUE,66,Age (years),55 - 64,AGEYR,AGEYR5564
2011,2011,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.1,32.1,,,21.6,44.8,109,,,,,,Other,"(41.708280193, -71.522470314)",OWS,OWS1,Q036,VALUE,44,Race/Ethnicity,Other,RACE,RACEOTH
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Asian,"(18.220833, -66.590149)",PA,PA1,Q043,VALUE,72,Race/Ethnicity,Asian,RACE,RACEASN
2017,2017,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,19.8,19.8,,,10.5,34.4,59,,,,,,Other,"(40.130570048, -74.273691288)",PA,PA1,Q046,VALUE,34,Race/Ethnicity,Other,RACE,RACEOTH
2012,2012,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.1,35.1,,,34.6,35.7,120032,,,Some college or technical school,,,,,OWS,OWS1,Q037,VALUE,59,Education,Some college or technical school,EDU,EDUCOTEC
2017,2017,WA,Washington,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36.1,36.1,,,31.5,41,766,,,,,"Less than $15,000",,"(47.522278629, -120.47001079)",FV,FV1,Q018,VALUE,53,Income,"Less than $15,000",INC,INCLESS15
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,27.9,27.9,,,27.6,28.3,266452,,,,Female,,,,PA,PA1,Q047,VALUE,59,Gender,Female,GEN,FEMALE
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,42,42,,,38.4,45.7,997,,55 - 64,,,,,"(18.220833, -66.590149)",OWS,OWS1,Q037,VALUE,72,Age (years),55 - 64,AGEYR,AGEYR5564
2011,2011,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,16.9,16.9,,,16,17.8,20923,,18 - 24,,,,,,PA,PA1,Q047,VALUE,59,Age (years),18 - 24,AGEYR,AGEYR1824
2014,2014,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.1,36.1,,,33.6,38.7,2214,,,,,"Less than $15,000",,"(18.220833, -66.590149)",OWS,OWS1,Q037,VALUE,72,Income,"Less than $15,000",INC,INCLESS15
2014,2014,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.5,34.5,,,27.8,41.9,333,,,,,"Less than $15,000",,"(13.444304, 144.793731)",OWS,OWS1,Q036,VALUE,66,Income,"Less than $15,000",INC,INCLESS15
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.5,31.5,,,30.5,32.5,27737,,,,,,Hispanic,,OWS,OWS1,Q036,VALUE,59,Race/Ethnicity,Hispanic,RACE,RACEHIS
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,50.4,50.4,,,46.4,54.3,862,,45 - 54,,,,,"(18.220833, -66.590149)",PA,PA1,Q047,VALUE,72,Age (years),45 - 54,AGEYR,AGEYR4554
2014,2014,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.2,32.2,,,31.5,33,62892,,,,,"$15,000 - $24,999",,,OWS,OWS1,Q036,VALUE,59,Income,"$15,000 - $24,999",INC,INC1525
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.5,29.5,,,28,31.1,5154,Total,,,,,,"(18.220833, -66.590149)",OWS,OWS1,Q036,VALUE,72,Total,Total,OVR,OVERALL
2020,2020,ME,Maine,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,21.7,21.7,,,19.9,23.7,4518,,,,Male,,,"(45.254228894000505, -68.98503133599962)",PA,PA1,Q047,VALUE,23,Gender,Male,GEN,MALE
2011,2011,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,31.6,31.6,,,30.7,32.6,49576,,,,,"Less than $15,000",,,OWS,OWS1,Q037,VALUE,59,Income,"Less than $15,000",INC,INCLESS15
2016,2016,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,34.2,34.2,,,33.5,35,66757,,,,,"$15,000 - $24,999",,,PA,PA1,Q047,VALUE,59,Income,"$15,000 - $24,999",INC,INC1525
2016,2016,MI,Michigan,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,21.5,21.5,,,19,24.3,1664,,,,,"$50,000 - $74,999",,"(44.661319543001, -84.71439027)",PA,PA1,Q047,VALUE,26,Income,"$50,000 - $74,999",INC,INC5075
2016,2016,WY,Wyoming,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,29.8,29.8,,,26.9,32.8,2293,,,,Female,,,"(43.235541343, -108.109830353)",OWS,OWS1,Q037,VALUE,56,Gender,Female,GEN,FEMALE
2016,2016,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,40.1,40.1,,,36.5,43.8,951,,35 - 44,,,,,"(37.542680674, -78.457890463)",OWS,OWS1,Q037,VALUE,51,Age (years),35 - 44,AGEYR,AGEYR3544
2016,2016,WA,Washington,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,18.8,18.8,,,17.1,20.7,3054,,55 - 64,,,,,"(47.522278629, -120.47001079)",PA,PA1,Q047,VALUE,53,Age (years),55 - 64,AGEYR,AGEYR5564
2016,2016,CA,California,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,13.7,13.7,,,9.7,19.2,273,,,,,,2 or more races,"(37.638640123, -120.999999538)",PA,PA1,Q047,VALUE,6,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2016,2016,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,33,33,,,29.7,36.4,1506,,,,,Data not reported,,"(39.360700171, -111.587130635)",OWS,OWS1,Q037,VALUE,49,Income,Data not reported,INC,INCNR
2016,2016,NY,New York,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25.9,25.9,,,24.5,27.3,14316,,,,Male,,,"(42.827001032, -75.543970427)",OWS,OWS1,Q036,VALUE,36,Gender,Male,GEN,MALE
2016,2016,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Hawaiian/Pacific Islander,"(18.220833, -66.590149)",PA,PA1,Q047,VALUE,72,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2016,2016,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,20.1,20.1,,,17.9,22.4,2071,,,College graduate,,,,"(41.708280193, -71.522470314)",OWS,OWS1,Q036,VALUE,44,Education,College graduate,EDU,EDUCOGRAD
2016,2016,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36,36,,,32.9,39.2,1256,,,Less than high school,,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q036,VALUE,6,Education,Less than high school,EDU,EDUHS
2016,2016,WA,Washington,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.1,29.1,,,28,30.2,10788,,,,,,Non-Hispanic White,"(47.522278629, -120.47001079)",OWS,OWS1,Q036,VALUE,53,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2016,2016,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,17.5,17.5,,,16.3,18.8,6581,,,,,,Non-Hispanic White,"(42.27687047, -72.082690675)",PA,PA1,Q047,VALUE,25,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2016,2016,DE,Delaware,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38.5,38.5,,,36,41.1,2645,,,,,,Non-Hispanic White,"(39.008830667, -75.577741168)",OWS,OWS1,Q037,VALUE,10,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2016,2016,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.3,35.3,,,32.2,38.5,1402,,55 - 64,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q037,VALUE,1,Age (years),55 - 64,AGEYR,AGEYR5564
2016,2016,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38,38,,,34.4,41.7,1918,,,,Male,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q037,VALUE,5,Gender,Male,GEN,MALE
2016,2016,IL,Illinois,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,27.5,27.5,,,25.4,29.7,2492,,,,Female,,,"(40.485010283, -88.997710178)",OWS,OWS1,Q037,VALUE,17,Gender,Female,GEN,FEMALE
2016,2016,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.6,26.6,,,24.4,28.9,2732,,,,Male,,,"(43.655950113, -71.50036092)",OWS,OWS1,Q036,VALUE,33,Gender,Male,GEN,MALE
2016,2016,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,44.3,44.3,,,40.1,48.6,916,,45 - 54,,,,,"(18.220833, -66.590149)",PA,PA1,Q047,VALUE,72,Age (years),45 - 54,AGEYR,AGEYR4554
2016,2016,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,28.3,28.3,,,26.6,30.1,5531,Total,,,,,,"(34.520880952, -106.240580985)",OWS,OWS1,Q036,VALUE,35,Total,Total,OVR,OVERALL
2015,2015,GU,Guam,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,29.5,29.5,,,19,42.7,139,,,,,,Non-Hispanic White,"(13.444304, 144.793731)",PA,PA1,Q044,VALUE,66,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2018,2018,MD,Maryland,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,32.5,32.5,,,28,37.5,671,,,,,,Hispanic,"(39.29058096400047, -76.60926011099963)",PA,PA1,Q047,VALUE,24,Race/Ethnicity,Hispanic,RACE,RACEHIS
2011,2011,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.9,35.9,,,35.3,36.4,138961,,,High school graduate,,,,,OWS,OWS1,Q037,VALUE,59,Education,High school graduate,EDU,EDUHSGRAD
2017,2017,VA,Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,24.2,24.2,,,22.8,25.7,6533,,,,,,Non-Hispanic White,"(37.542680674, -78.457890463)",PA,PA1,Q047,VALUE,51,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,2 or more races,"(18.220833, -66.590149)",PA,PA1,Q043,VALUE,72,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2015,2015,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Non-Hispanic Black,"(13.444304, 144.793731)",OWS,OWS1,Q037,VALUE,66,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2020,2020,MN,Minnesota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,28.5,28.5,,,25.8,31.4,1664,,,,,"$15,000 - $24,999",,"(46.35564873600049, -94.79420050299967)",PA,PA1,Q047,VALUE,27,Income,"$15,000 - $24,999",INC,INC1525
2012,2012,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25,25,,,22,28.4,1533,,,,,"$35,000 - $49,999",,"(40.130570048, -74.273691288)",OWS,OWS1,Q036,VALUE,34,Income,"$35,000 - $49,999",INC,INC3550
2015,2015,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,56.1,56.1,,,51.7,60.5,1567,,,,,,Other,,PA,PA1,Q043,VALUE,59,Race/Ethnicity,Other,RACE,RACEOTH
2013,2013,MI,Michigan,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Hawaiian/Pacific Islander,"(44.661319543001, -84.71439027)",PA,PA1,Q046,VALUE,26,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2015,2015,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.1,29.1,,,28.7,29.5,176407,,,,Male,,,,OWS,OWS1,Q036,VALUE,59,Gender,Male,GEN,MALE
2017,2017,HI,Hawaii,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25.1,25.1,,,23.2,27.1,3529,,,,Male,,,"(21.304850435, -157.857749403)",OWS,OWS1,Q036,VALUE,15,Gender,Male,GEN,MALE
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,39,39,,,34.7,43.4,613,,25 - 34,,,,,"(18.220833, -66.590149)",PA,PA1,Q043,VALUE,72,Age (years),25 - 34,AGEYR,AGEYR2534
2013,2013,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,37.4,37.4,,,34.8,40,2273,,,,,"Less than $15,000",,"(18.220833, -66.590149)",OWS,OWS1,Q037,VALUE,72,Income,"Less than $15,000",INC,INCLESS15
2011,2011,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.3,32.3,,,31.4,33.2,49598,,,,,"Less than $15,000",,,OWS,OWS1,Q036,VALUE,59,Income,"Less than $15,000",INC,INCLESS15
2015,2015,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,34,34,,,33.2,34.8,52626,,,,,"$15,000 - $24,999",,,PA,PA1,Q047,VALUE,59,Income,"$15,000 - $24,999",INC,INC1525
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,26.1,26.1,,,23,29.6,1085,,,Less than high school,,,,"(18.220833, -66.590149)",PA,PA1,Q043,VALUE,72,Education,Less than high school,EDU,EDUHS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,33.2,33.2,,,30.8,35.7,7291,,,,,,American Indian/Alaska Native,,OWS,OWS1,Q037,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2017,2017,GU,Guam,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,46.1,46.1,,,37.2,55.3,200,,,,,"Less than $15,000",,"(13.444304, 144.793731)",PA,PA1,Q047,VALUE,66,Income,"Less than $15,000",INC,INCLESS15
2014,2014,LA,Louisiana,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,23.6,23.6,,,12.8,39.2,74,,,,,,2 or more races,"(31.312660644, -92.445680071)",PA,PA1,Q047,VALUE,22,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2020,2020,SD,South Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,22.6,22.6,,,19.5,26.1,3064,,,,Male,,,"(44.353130053000484, -100.3735306369997)",PA,PA1,Q047,VALUE,46,Gender,Male,GEN,MALE
2017,2017,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,26,26,,,19.1,34.2,381,,,,,"$25,000 - $34,999",,"(41.708280193, -71.522470314)",FV,FV1,Q019,VALUE,44,Income,"$25,000 - $34,999",INC,INC2535
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,10.9,10.9,,,9.9,12,5296,Total,,,,,,"(18.220833, -66.590149)",PA,PA1,Q046,VALUE,72,Total,Total,OVR,OVERALL
2017,2017,TX,Texas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,39,39,,,27.2,52.3,217,,,,,,Asian,"(31.827240407, -99.426770206)",PA,PA1,Q046,VALUE,48,Race/Ethnicity,Asian,RACE,RACEASN
2014,2014,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,42.7,42.7,,,38.9,46.6,960,,45 - 54,,,,,"(18.220833, -66.590149)",OWS,OWS1,Q037,VALUE,72,Age (years),45 - 54,AGEYR,AGEYR4554
